,ZCTA,percent_pos,median_inc,perc_minority,perc_majority,majority,perc_blue,perc_white,white_collar,log_percent_pos,best_fit_lin,best_fit_log,perc_wfh,perc_non_ess,perc_ess
17,10021,0.01068917,113800.3846,0.120098096,0.879901904,1,0.651,0.349,0,-4.5385241996162184,0.012176371537270546,-4.546348980601888,0.222,0.22700000000000004,0.552
18,10022,0.009413655,93106.6559,0.13575993,0.86424007,1,0.32900000000000007,0.6709999999999999,1,-4.665593984220932,0.014842110262433357,-4.3561671584964845,0.5970000000000001,0.199,0.20500000000000002
19,10023,0.007912229,108285.5918,0.18457982199999998,0.815420178,1,0.309,0.6910000000000001,1,-4.839345741703429,0.012886779842188986,-4.495666314445268,0.318,0.479,0.202
20,10024,0.009542211,110998.9883,0.17033551,0.82966449,1,0.479,0.521,1,-4.6520300593680854,0.012537243698576006,-4.520603274716929,0.30300000000000005,0.28400000000000003,0.411
21,10025,0.011658855,65001.2415,0.351395349,0.648604651,1,0.5880000000000001,0.4119999999999999,0,-4.451689301852466,0.018462612523721264,-4.097869632752879,0.261,0.25,0.489
22,10026,0.014099535,31541.8106,0.780225274,0.21977472600000003,0,0.498,0.502,1,-4.261613460865229,0.022772812099887504,-3.7903670252033828,0.394,0.17,0.439
23,10027,0.012951602,38550.3989,0.68911518,0.31088481999999995,0,0.189,0.8109999999999999,1,-4.34653579192391,0.021869975036983853,-3.854778137990447,0.7460000000000001,0.109,0.144
24,10028,0.008913439,105456.4514,0.12283733100000002,0.877162669,1,0.41800000000000004,0.582,1,-4.72019514114769,0.013251225961713234,-4.469665631626612,0.337,0.368,0.29500000000000004
25,10029,0.01914645,32876.522000000004,0.6740260250000001,0.3259739749999999,0,0.6670000000000001,0.33299999999999985,0,-3.955637959130295,0.02260087634497948,-3.802633439328975,0.267,0.07300000000000001,0.6610000000000001
26,10030,0.014155679,28525.1218,0.8904403869999999,0.10955961300000006,0,0.378,0.622,1,-4.257639392653168,0.02316141795591793,-3.7626427140835137,0.35700000000000004,0.199,0.44599999999999995
27,10031,0.017492615,31526.0287,0.751585812,0.24841418800000004,0,0.33699999999999997,0.663,1,-4.045976487119727,0.022774845103344567,-3.790221984619262,0.468,0.173,0.359
28,10032,0.018968629,29535.9721,0.717343148,0.282656852,0,0.765,0.235,0,-3.964968769655396,0.023031201559002838,-3.771932743672516,0.14500000000000002,0.087,0.7670000000000001
29,10033,0.018554868000000002,36462.7783,0.5753439899999999,0.4246560100000001,0,0.41000000000000003,0.59,1,-3.987023098480329,0.022138899557912147,-3.835592253448877,0.45500000000000007,0.223,0.32400000000000007
30,10034,0.013773013,37865.7046,0.6257839,0.37421610000000005,0,0.6100000000000001,0.3899999999999999,0,-4.285044181171689,0.021958176449927293,-3.848485583784922,0.30600000000000005,0.247,0.44500000000000006
31,10035,0.022074252000000003,23301.5744,0.7492713950000001,0.25072860499999994,0,0.65,0.35,0,-3.8133434175509167,0.023834308414122474,-3.7146366840061047,0.217,0.144,0.639
32,10036,0.013161733,62393.3306,0.36319857600000005,0.636801424,1,0.373,0.627,1,-4.330441674824837,0.01879856015204328,-4.073902118051164,0.538,0.19499999999999998,0.266
33,10037,0.016982828000000002,40079.7036,0.9158819469999999,0.08411805300000008,0,0.9009999999999999,0.09900000000000009,0,-4.075552563085624,0.021672972030881647,-3.86883292524589,0.07600000000000001,0.084,0.84
34,10038,0.009385965,55937.3774,0.467044336,0.5329556639999999,1,0.378,0.622,1,-4.668539790574886,0.019630207493253407,-4.014569894226116,0.497,0.17600000000000002,0.327
35,10039,0.015653178,28691.9104,0.8925266030000001,0.10747339699999992,0,0.492,0.508,1,-4.157081315518655,0.02313993246935428,-3.764175553346764,0.46900000000000003,0.212,0.319
36,10040,0.01864441,37107.0105,0.613315834,0.386684166,0,0.642,0.358,0,-3.9822089097243825,0.02205591041910427,-3.84151294833336,0.305,0.226,0.471
37,10044,0.014980311999999999,102485.7479,0.489580654,0.5104193459999999,1,0.7899999999999999,0.21000000000000008,0,-4.201018473339598,0.01363390805229881,-4.4423639397587324,0.16999999999999998,0.10200000000000001,0.727
38,10065,0.010210253,108154.9505,0.139417416,0.860582584,1,0.6729999999999999,0.32700000000000007,0,-4.5843628674847565,0.012903608881438716,-4.49446568014507,0.223,0.176,0.603
39,10069,0.009046214,54236.0986,0.278707444,0.721292556,1,0.24700000000000005,0.7529999999999999,1,-4.705408951341393,0.01984936397516179,-3.9989346113448203,0.384,0.406,0.21100000000000002
40,10075,0.015865652,112267.5519,0.120630911,0.879369089,1,0.558,0.44199999999999995,0,-4.143598758037566,0.012373829015660405,-4.532261769925895,0.258,0.353,0.388
41,10128,0.009332388,105186.9788,0.19636742499999998,0.803632575,1,0.44499999999999995,0.555,1,-4.674264348319073,0.013285939065166182,-4.467189094371367,0.31400000000000006,0.398,0.28800000000000003
42,10280,0.004049446,98937.8355,0.304214949,0.695785051,1,0.259,0.741,1,-5.509175197343768,0.014090945428949318,-4.409757518041106,0.6730000000000002,0.21200000000000002,0.116
44,10301,0.02602432,56776.4674,0.45607716700000006,0.5439228329999999,1,0.532,0.46799999999999997,0,-3.648723793544848,0.01952211703071164,-4.022281393077961,0.272,0.12300000000000001,0.604
45,10302,0.030707537000000003,59919.3561,0.509272841,0.49072715899999997,0,0.757,0.243,0,-3.483247149634385,0.019117254270697465,-4.051165520646546,0.18,0.2,0.621
46,10303,0.029251937000000002,54757.9811,0.661388921,0.338611079,0,0.746,0.254,0,-3.531809485274644,0.01978213576267272,-4.003730874319647,0.099,0.211,0.687
47,10304,0.029904538999999997,46260.4767,0.5215557090000001,0.47844429099999985,0,0.5990000000000001,0.4009999999999999,0,-3.5097450040867972,0.02087677302571567,-3.9256361581102537,0.315,0.16899999999999998,0.514
48,10305,0.025958673999999998,58937.657999999996,0.237562577,0.762437423,1,0.8370000000000001,0.16299999999999992,0,-3.651249467033238,0.0192437153198166,-4.042143408869492,0.115,0.17600000000000002,0.7080000000000002
49,10306,0.024500395,75212.0632,0.12117905899999999,0.878820941,1,0.7150000000000001,0.2849999999999999,0,-3.7090660391124413,0.017147267995143253,-4.191710269413946,0.164,0.247,0.5880000000000001
50,10307,0.022977941,92780.8404,0.065692396,0.934307604,1,0.493,0.507,1,-3.7732206102276873,0.014884081383645952,-4.353172812414225,0.17300000000000001,0.21500000000000002,0.611
51,10308,0.019379845,75667.7216,0.064078663,0.935921337,1,0.6619999999999999,0.3380000000000001,0,-3.943521670487517,0.017088570683511554,-4.195897912251344,0.23700000000000002,0.21400000000000002,0.5459999999999999
52,10309,0.023142762999999997,84917.1256,0.089424645,0.910575355,1,0.7799999999999999,0.22000000000000008,0,-3.766073160714575,0.015897074709783254,-4.280902820337774,0.131,0.35000000000000003,0.52
53,10310,0.027985556,65263.1506,0.4588975238,0.5411024762000001,1,0.7820000000000001,0.21799999999999986,0,-3.576066759049862,0.01842887374032151,-4.10027665908371,0.14100000000000001,0.129,0.7300000000000002
54,10312,0.022319042,84524.3656,0.091831917,0.908168083,1,0.609,0.391,0,-3.8023150635371192,0.01594766953282715,-4.2772932334173595,0.257,0.255,0.486
55,10314,0.026454093999999997,78413.7436,0.241106304,0.758893696,1,0.741,0.259,0,-3.632344350046725,0.01673483176619652,-4.221134711045441,0.194,0.324,0.481
56,10451,0.029436378,22970.4247,0.8097258979999999,0.19027410200000006,0,0.65,0.35,0,-3.5255240225815636,0.023876966679914662,-3.711593314961856,0.21500000000000002,0.161,0.621
57,10452,0.02605221,27673.4674,0.808016346,0.19198365399999995,0,0.446,0.554,1,-3.647652677528996,0.023271126947827896,-3.754815744476239,0.378,0.237,0.385
58,10453,0.024872497,26324.188,0.826035322,0.17396467800000004,0,0.5710000000000002,0.4289999999999998,0,-3.6939926241159036,0.023444939333202623,-3.742415445886199,0.369,0.18200000000000002,0.44900000000000007
59,10454,0.0253645,18024.1362,0.7601842670000001,0.23981573299999992,0,0.6380000000000001,0.3619999999999999,0,-3.674404720359625,0.024514141013812135,-3.666135380665607,0.20500000000000002,0.22000000000000003,0.574
60,10455,0.025613131,22828.7877,0.7512920710000001,0.24870792899999994,0,0.7570000000000001,0.24299999999999988,0,-3.6646501293125864,0.023895212170676118,-3.710291626748579,0.178,0.278,0.546
61,10456,0.022437326,21955.2481,0.8459796409999999,0.1540203590000001,0,0.573,0.42700000000000005,0,-3.7970293676383604,0.024007740385066173,-3.7022635253262757,0.38499999999999995,0.139,0.47500000000000003
62,10457,0.023727768,25474.4498,0.797208353,0.20279164699999996,0,0.647,0.353,0,-3.7411092711124456,0.023554401482766326,-3.7346060867546775,0.219,0.119,0.661
63,10458,0.020533587,25642.1721,0.7028254409999999,0.2971745590000001,0,0.678,0.32199999999999995,0,-3.8856933432909777,0.023532795718205234,-3.736147507012193,0.269,0.163,0.5660000000000001
64,10459,0.0264524,22843.1774,0.767121841,0.23287815899999997,0,0.552,0.44799999999999995,0,-3.6324083875541273,0.023893358508579276,-3.7104238725804066,0.293,0.291,0.41500000000000004
